Time    dt    Temperature
0   0.0001   888.499
0.1   0.0001   887.499
0.2   0.0001   886.499
0.3   0.0001   885.499
0.4   0.0001   884.499
0.5   0.0001   883.499
0.6   0.0001   882.499
0.7   0.0001   881.499
0.8   0.0001   880.499
0.9   0.0001   879.499
1   0.0001   878.499
1.1   0.0001   877.499
1.2   0.0001   876.499
1.3   0.0001   875.499
1.4   0.0001   874.499
1.5   0.0001   873.499
1.6   0.0001   872.499
1.7   0.0001   871.499
1.8   0.0001   870.499
1.9   0.0001   869.499
